pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,already_in_current_master_exact_accession
Carbaryl,Lithobates clamitans (Green frog) (Rana clamitans),Gene Only,,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,,ATP2A1,,,2013,10.1016/j.aquatox.2012.12.022,SUPPLEMENTED,M1R1X1,23399446,Specific time of exposure during tadpole development influences biological effects of the insecticide carbaryl in green frogs (Lithobates clamitans).,NO
Carbaryl,Arthrobacter sp. RC100,Gene Only,Hydrolase,Carbaryl hydrolase,,cahA,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRB9,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only + whole-cell/ Crude,Hydrolase,Carbaryl hydrolase,,cehA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR61,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,,Transposase,,istA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJ82,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,NO
Carbaryl,Arthrobacter sp. RC100,Gene Only,,Transposase helper protein,,istB,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRC0,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,,Helper protein,,istB,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJH5,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,,OrfX protein,,orfX,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR60,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,NO
Chlorpyrifos / methyl parathion,Stenotrophomonas sp. YC-1,Gene Only + whole-cell/ Crude,Hydrolase,Methyl parathion hydrolase,,mpd,,,2006,10.1111/j.1574-6968.2006.00478.x,SUPPLEMENTED,Q0PWQ4,17107423,Cloning of mpd gene from a chlorpyrifos-degrading bacterium and use of this strain in bioremediation of contaminated soil.,NO
Glyphosate,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),Gene Only,Lyase,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase (PRPn C-P lyase) (EC 4.7.1.1),,phnJ,,WP_003530631.1,2001,10.1073/pnas.161294698,SUPPLEMENTED,Q52987,11481431; 11474104,"The complete sequence of the 1,683-kb pSymB megaplasmid from the N2-fixing endosymbiont Sinorhizobium meliloti.",NO
Glyphosate,Bacillus licheniformis,Gene Only,Oxidoreductase,Glycine oxidase (GO) (EC 1.4.3.19) (BliGO),,thiO,,WP_003180677.1,2016,10.1016/j.enzmictec.2015.12.012,SUPPLEMENTED,S5FMM4,26920475,"Characterization and directed evolution of BliGO, a novel glycine oxidase from Bacillus licheniformis.",NO
Methyl parathion,Xanthomonas citri pv. citri (strain 306),Gene Only,Hydrolase,Methyl parathion hydrolase,,mpd,,,2002,10.1038/417459a,SUPPLEMENTED,A0AAI7ZDC3,12024217,Comparison of the genomes of two Xanthomonas pathogens with differing host specificities.,NO
Methyl parathion,Stutzerimonas stutzeri (Pseudomonas stutzeri),Gene Only,Hydrolase,Methyl parathion hydrolase (EC 3.1.8.1),,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,NO
Methyl parathion,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),Gene Only,Hydrolase,Methyl parathion hydrolase (EC 3.5.-.-),,mpd,,WP_011133826.1,2003,10.1073/pnas.1832124100,SUPPLEMENTED,Q7P1E2,14500782,The complete genome sequence of Chromobacterium violaceum reveals remarkable and exploitable bacterial adaptability.,NO
Methyl parathion,Pseudomonas sp. (strain WBC-3),Gene Only + whole-cell/ Crude,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612; 16181636; 19222584,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,NO
Methyl parathion,Plesiomonas sp. M6,Gene Only + whole-cell/ Crude,Hydrolase,Methyl parathion hydrolase,,mpd,,,2001,10.1128/AEM.67.10.4922-4925.2001,SUPPLEMENTED,Q9ALW1,11571204,Isolation of methyl parathion-degrading strain M6 and cloning of the methyl parathion hydrolase gene.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_051780810.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V3V0,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038492674.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V7Q8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038497753.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0VDH8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,NO
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,,Transposase,,,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X4,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Rhizorhabdus wittichii (strain DC-6 / KACC 16600) (Sphingomonas wittichii),Gene Only,Hydrolase,Dimethoate hydrolase,,dmhA,,,2016,10.1007/s10529-015-2027-6,SUPPLEMENTED,A0A067XIQ6,26721238; 39489725,A novel amidohydrolase (DmhA) from Sphingomonas sp. that can hydrolyze the organophosphorus pesticide dimethoate to dimethoate carboxylic acid and methylamine.,NO
Organophosphates,Brucella sp. mp-7,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W8,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Ochrobactrum sp. mp-6,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W9,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Ochrobactrum sp. mp-5,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X0,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Ochrobactrum sp. mp-4,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X1,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Ochrobactrum sp. mp-3,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X2,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
